country|pid|rank|week
PER|2966740|986|18042
PER|2966693|986|18042
PER|2966555|986|18042
PER|2966786|986|18042
MRI|2988856|986|18042
MRI|2988902|986|18042
MRI|2988810|986|18042
THA|1335100|1015|18042
ENG|1354923|1015|18042
ROU|1978237|1015|18042
CRO|1289645|1018|18042
NOR|1679202|1019|18042
ENG|1609316|1019|18042
INA|1115182|1021|18042
ENG|258324|1022|18042
MAS|1562630|1022|18042
MAS|2531368|1022|18042
SWE|2176811|1022|18042
ENG|1298534|1026|18042
NED|1043353|1026|18042
LAT|1458765|1028|18042
DEN|2166421|1029|18042
IND|1487794|1029|18042
IND|2781379|1029|18042
TPE|1690219|1029|18042
FRA|1955682|1033|18042
POL|1236764|1034|18042
CAN|1172166|1035|18042
ENG|2250400|1035|18042
RUS|2539393|1035|18042
RUS|2608722|1035|18042
RUS|2539438|1035|18042
RUS|2524956|1035|18042
CAN|2983546|1035|18042
FIN|1662638|1042|18042
EST|1501026|1043|18042
FIN|1595599|1043|18042
ENG|2709396|1043|18042
RUS|2198619|1046|18042
NEP|161372|1047|18042
UGA|163533|1047|18042
SWE|148563|1047|18042
UGA|163816|1047|18042
NOR|361652|1047|18042
KEN|437080|1047|18042
SUI|695052|1047|18042
ISL|998973|1047|18042
PHI|1046551|1047|18042
THA|1144144|1047|18042
AUT|815117|1047|18042
TUR|1014687|1047|18042
EGY|1659503|1047|18042
EGY|1657301|1047|18042
MAS|1276669|1047|18042
KEN|1957059|1047|18042
UGA|1608225|1047|18042
UGA|1608478|1047|18042
TUR|1742201|1047|18042
MAS|664009|1047|18042
EGY|1655274|1047|18042
IND|1975912|1047|18042
IND|2270067|1047|18042
TUR|1334300|1047|18042
ISL|2034202|1047|18042
MAS|2531651|1047|18042
MAS|1289520|1047|18042
MAS|2138148|1047|18042
MAS|1701264|1047|18042
EGY|2583340|1047|18042
UZB|2088008|1047|18042
EGY|2583295|1047|18042
EGY|1475957|1047|18042
IND|2614337|1047|18042
IND|2383962|1047|18042
IND|1722012|1047|18042
TUR|2033161|1047|18042
NEP|2821409|1047|18042
BHU|2806790|1047|18042
NEP|2137225|1047|18042
BHU|2806745|1047|18042
NEP|2821299|1047|18042
BHU|2806700|1047|18042
TPE|1989593|1047|18042
DEN|2710493|1047|18042
UGA|1607889|1047|18042
TPE|1617365|1047|18042
TPE|1352182|1047|18042
INA|2094272|1047|18042
TPE|2000237|1047|18042
ENG|1126176|1097|18042
SGP|1567126|1097|18042
SWE|1685727|1097|18042
GLD|2381739|1097|18042
GRE|2045302|1097|18042
BUL|1551656|1102|18042
SWE|2154405|1102|18042
RUS|2051208|1102|18042
AUT|816373|1105|18042
AUT|2875802|1105|18042
SCO|362687|1107|18042
IND|116457|1108|18042
IND|161374|1108|18042
KAZ|199018|1108|18042
BEL|1077769|1108|18042
